Country,Happiness Score,,,,,
Denmark,7.693,,,,,
Norway,7.655,,,,,
Switzerland,7.65,,,,,
Netherlands,7.512,,,,,
Sweden,7.48,,,,,
Canada,7.477,,,,,
Finland,7.389,,,,,
Austria,7.369,,,,,
Iceland,7.355,,,,,
Australia,7.35,,,,,
Israel,7.301,,,,,
Costa Rica,7.257,,,,,
New Zealand,7.221,,,,,
United Arab Emirates,7.144,,,,,
Panama,7.143,,,,,
Mexico,7.088,,,,,
United States,7.082,,,,,
Ireland,7.076,,,,,
Luxembourg,7.054,,,,,
Venezuela,7.039,,,,,
Belgium,6.967,,,,,
United Kingdom,6.883,,,,,
Oman,6.853,,,,,
Brazil,6.849,,,,,
France,6.764,,,,,
Germany,6.672,,,,,
Qatar,6.666,,,,,
Chile,6.587,,,,,
Argentina,6.562,,,,,
Singapore,6.546,,,,,
Trinidad and Tobago,6.519,,,,,
Kuwait,6.515,,,,,
Saudi Arabia,6.48,,,,,
Cyprus,6.466,,,,,
Colombia,6.416,,,,,
Thailand,6.371,,,,,
Uruguay,6.355,,,,,
Spain,6.322,,,,,
Czech Republic,6.29,,,,,
Suriname,6.269,,,,,
South Korea,6.267,,,,,
Taiwan,6.221,,,,,
Japan,6.064,,,,,
Slovenia,6.06,,,,,
Italy,6.021,,,,,
Slovakia,5.969,,,,,
Guatemala,5.965,,,,,
Malta,5.964,,,,,
Ecuador,5.865,,,,,
Bolivia,5.857,,,,,
Poland,5.822,,,,,
El Salvador,5.809,,,,,
Moldova,5.791,,,,,
Paraguay,5.779,,,,,
Peru,5.776,,,,,
Malaysia,5.76,,,,,
Kazakhstan,5.671,,,,,
Croatia,5.661,,,,,
Turkmenistan,5.628,,,,,
Uzbekistan,5.623,,,,,
Angola,5.589,,,,,
Albania,5.55,,,,,
Vietnam,5.533,,,,,
Hong Kong,5.523,,,,,
Nicaragua,5.507,,,,,
Belarus,5.504,,,,,
Mauritius,5.477,,,,,
Russia,5.464,,,,,
North Cyprus,5.463,,,,,
Greece,5.435,,,,,
Lithuania,5.426,,,,,
Estonia,5.426,,,,,
Algeria,5.422,,,,,
Jordan,5.414,,,,,
Jamaica,5.374,,,,,
Indonesia,5.348,,,,,
Turkey,5.345,,,,,
Libya,5.34,,,,,
Bahrain,5.312,,,,,
Montenegro,5.299,,,,,
Pakistan,5.292,,,,,
Nigeria,5.248,,,,,
Kosovo,5.222,,,,,
Honduras,5.142,,,,,
Portugal,5.101,,,,,
Ghana,5.091,,,,,
Ukraine,5.057,,,,,
Latvia,5.046,,,,,
Kyrgyzstan,5.042,,,,,
Romania,5.033,,,,,
Zambia,5.006,,,,,
Philippines,4.985,,,,,
China,4.978,,,,,
Mozambique,4.971,,,,,
Dominican Republic,4.963,,,,,
South Africa,4.963,,,,,
Lebanon,4.931,,,,,
Lesotho,4.898,,,,,
Morocco,4.885,,,,,
Swaziland,4.867,,,,,
Somaliland region,4.847,,,,,
Mongolia,4.834,,,,,
Zimbabwe,4.827,,,,,
Tunisia,4.826,,,,,
Iraq,4.817,,,,,
Serbia,4.813,,,,,
Bosnia and Herzegovina,4.813,,,,,
Bangladesh,4.804,,,,,
Laos,4.787,,,,,
Hungary,4.775,,,,,
India,4.772,,,,,
Mauritania,4.758,,,,,
Palestinian Territories,4.7,,,,,
Djibouti,4.69,,,,,
Iran,4.643,,,,,
Azerbaijan,4.604,,,,,
Congo (Kinshasa),4.578,,,,,
Macedonia,4.574,,,,,
Ethiopia,4.561,,,,,
Uganda,4.443,,,,,
Myanmar,4.439,,,,,
Cameroon,4.42,,,,,
Kenya,4.403,,,,,
Sudan,4.401,,,,,
Tajikistan,4.38,,,,,
Haiti,4.341,,,,,
Sierra Leone,4.318,,,,,
Armenia,4.316,,,,,
Congo (Brazzaville),4.297,,,,,
Egypt,4.273,,,,,
Burkina Faso,4.259,,,,,
Mali,4.247,,,,,
Liberia,4.196,,,,,
Georgia,4.187,,,,,
Nepal,4.156,,,,,
Niger,4.152,,,,,
Sri Lanka,4.151,,,,,
Gabon,4.114,,,,,
Malawi,4.113,,,,,
Cambodia,4.067,,,,,
Chad,4.056,,,,,
Yemen,4.054,,,,,
Afghanistan,4.04,,,,,
Bulgaria,3.981,,,,,
Botswana,3.97,,,,,
Madagascar,3.966,,,,,
Senegal,3.959,,,,,
Syria,3.892,,,,,
Comoros,3.851,,,,,
Guinea,3.847,,,,,
Tanzania,3.77,,,,,
Rwanda,3.715,,,,,
Burundi,3.706,,,,,
Central African Republic,3.623,,,,,
Benin,3.528,,,,,
Togo,2.936,,,,,
,,,,,,
,,,,,,
